titulo,status,cidade,estado,texto_preview,link,nota_cliente,categoria
Mau atendimento e desrespeito a terceirizados na Localiza Capão Bonito e outras unidades,NÃO RESPONDIDA,Cerquilho,SP,"Estou muito decepcionado com a localiza estava prestando serviço terceirizado e fui mal tratado no pátio do capão bonito pelo senhor Rodrigo não serve pra ser líder tá longe de ser um profissional trabalhei no aeroporto de Guarulhos parece que lá eles tem um rei na barriga e trabalhei na unidade do shopping Itaquera todos os funcionários com o mesmo padrão de ignorância e deboche dos terceirizados sugiro a localiza a orientar melhor seus funcionários da um curso de boas maneiras resumindo o único lugar que conseguir trabalha com igualdade foi na barra funda e na seminovos da região do Miragaia
Localiza de curso profissionalizante para seus funcionário exige que eles tratem bem os terceirizado pq eles vão ajudar o que vcs nao estao capacitados agradeço desde já mudança já.....",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/mau-atendimento-e-desrespeito-a-terceirizados-na-localiza-capao-bonito-e-outras-unidades_beUug_eKJK7V0pc-/,,Outros
Solicitação de Apoio/Desconto por Excepcionalidade Financeira e Médica Contrato de Locação CTAF042550,NÃO RESPONDIDA,Belo Horizonte,MG,"Não é uma reclamação e sim uma solicitação de Apoio/Desconto por Excepcionalidade Financeira e Médica Contrato de Locação número CTAF042550.

Prezada equipe da Localiza
Escrevo este texto por um momento de extrema necessidade e desgaste financeiro, na expectativa de contar com a sensibilidade e a responsabilidade social que são marcas da Localiza.
No dia 29 de março deste ano, sofremos um sinistro onde bateram no nosso veículo próprio. O carro deu entrada na oficina para reparos no dia 05 de abril e, até o presente momento, a previsão de entrega tem sido sucessivamente adiada, com uma estimativa atual que já ultrapassa os 90 dias de espera.
Para mantermos a nossa mobilidade essencial, recorremos ao aluguel de um veículo com vocês. No entanto, o prazo do conserto superou qualquer planejamento financeiro saudável. Chegamos a um ponto insustentável, onde não temos mais de onde tirar recursos para arcar com o valor integral das diárias da locação por tanto tempo.
Gostaria de ressaltar que a manutenção desse carro reserva é uma questão de saúde e dignidade familiar. Minha filha de 7 anos é uma criança autista e deficiente física. Ela depende integralmente do transporte particular para comparecer a terapias, consultas médicas e para a sua locomoção diária segura, tornando o veículo um item de primeiríssima necessidade para nós.
Diante do exposto um atraso de quase três meses que foge ao nosso controle e a condição de saúde vulnerável da minha filha, venho solicitar formalmente que a Localiza avalie o nosso caso para a concessão de um desconto especial nas diárias, uma condição diferenciada de pagamento ou uma tarifa social de apoio enquanto aguardamos a liberação do nosso veículo.

Estamos anexando a esta mensagem os comprovantes de entrada do carro na oficina, bem como os laudos/comprovantes médicos da nossa filha que atestam a necessidade da mobilidade.
Certos da empatia e do compromisso da Localiza com seus clientes em momentos de vulnerabilidade, aguardamos um retorno breve.

Atenciosamente,

Celina Selma Campos
Telefone de contato:*******
CPF: *******",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/solicitacao-de-apoiodesconto-por-excepcionalidade-financeira-e-medica-contrato-de-locacao-ctaf042550_FfhZxpSN-qvVW2p3/,,Sinistro e Acidente
"Reclamação sobre sinistro de carro alugado na Localiza: divergência sobre oficina, peças e orçamento.",NÃO RESPONDIDA,Rio de Janeiro,RJ,"Eu sofri um acidente de carro, um carro Mitsubishi Lancer 2.0 todo original. O carro que colidiu no meu, era um carro alugado na Localiza, e a condutora preencheu o BRAT assumindo a total responsabilidade sobre a ocorrência. Isso ocorreu em 29/4/26, a partir daí começaram meus problemas e acompanhados das exigências da empresa.
Me enviaram uma lista de oficinas credenciadas pela Localiza, e exigiram que fizesse 3 orçamentos e eles escolheriam um e depositariam na minha conta o valor escolhido por eles. Sendo que trabalho no regime PJ e cada hora que paro não ganho. Essa situação não foi resolvida até agora, até pq o único canal divulgado é simplesmente um canal de atendimento que somente lhe responde que a Localiza só trabalha desse modo e lhe passa a lista de credenciados.
Quem sofreu o acidente fui eu e com um carro todo original que nunca tinha recebido uma pintura. logo busquei junto a Mitsubishi um orçamento e tentei conversar via ******* com a Localiza se poderia enviar esse orçamento apesar de não ser uma empresa credenciada e levando em conta que:
1o Deveriam trocar as peças e eu escolher onde fazer, na Mitsubishi, não seria recuperação ou troca por peças no paralelo
2o 90% das suas credenciadas ficam em endereços onde não tenho segurança de andar, ou não atendem e também não conheço a qualidade do trabalho deles
3o Não consigo contato nenhum com vcs, além de um 1o nível de atendimento que me responde o básico para podermos nos entender, não consigo ter contato com ninguém de ouvidoria ou outra área que possa resolver essa situação de uma maneira honesta.
Consegui mais dois orçamentos em enviei o da Mitsubishi pelos motivos descritos acima. Recebi de resposta um valor mais baixo doque o menor orçamento o qual seria feita uma restauração. A sensação é de estar sendo enganado, que meu processo está sendo empurrado com a barriga e que vou continuar tendo que dedicar horas do meu dia para atender essa empresa que definiu um processo próprio de reparos a terceiros. Fui buscar meus direitos e tive como resposta a seguinte linha de conduta:

Seus Direitos como Terceiro Prejudicado
Livre escolha de oficina: Você não é obrigado a realizar o conserto em oficinas credenciadas da locadora ou da seguradora dela. A Superintendência de Seguros Privados (SUSEP) garante ao terceiro o direito de escolher a oficina de sua confiança, incluindo a concessionária autorizada (Mitsubishi), especialmente para manter a garantia e a originalidade do carro.
Peças originais: Sendo um carro original e sem histórico de reparos, você tem o direito de exigir a reposição com peças originais e novas, rejeitando peças paralelas ou recondicionadas.
Reparação integral: O causador do dano (e, solidariamente, a locadora proprietária do veículo) deve cobrir o valor real e justo para devolver o bem ao estado em que estava antes da batida.


Próximos Passos para Resolver o Problema
Plataforma https://******* Registre uma reclamação detalhada nesta plataforma governamental. As grandes locadoras possuem equipes jurídicas e de ouvidoria específicas para responder aos chamados desse site, geralmente oferecendo acordos mais justos em poucos dias.
Reclame Aqui: Publique a sua insatisfação relatando a falta de canais de contato e a proposta abusiva. As empresas costumam encaminhar esses casos para setores de retenção e mediação de conflitos para evitar danos à marca.
Notificação Extrajudicial: Caso as plataformas online não funcionam, você pode enviar uma Notificação Extrajudicial formalizada (via Cartório de Títulos e Documentos ou por e-mail com aviso de recebimento) direcionada à diretoria ou ao setor jurídico da locadora, estipulando um prazo de 5 a 7 dias para uma proposta justa, sob pena de medidas judiciais.
Se mesmo assim eles se recusarem a cobrir o orçamento da concessionária Mitsubishi, o caminho definitivo e muitas vezes rápido é o Juizado Especial Cível (JEC), onde você pode entrar com uma ação de pequena causa sem custos e, para valores de até 20 salários-mínimos, sem a necessidade obrigatória de um advogado.
Hoje recebi mais um email da empresa, dizendo :
Olá!
Informamos que o procedimento adotado neste caso segue estritamente o que foi estabelecido pela companhia, sendo o mesmo aplicado de forma padronizada em todas as situações semelhantes. Seguimos com a aprovação na oficina credenciada, levando em consideração que o veículo não está mais em garantia de fábrica. Informamos que os preços praticados pelo fornecedor homologado pela Localiza apresentam melhores condições comerciais, sem prejuízo da qualidade dos serviços prestados.
Sendo respondido da forma abaixo descrita:
A Localiza não tem o direito de definir qual o padrão de execução de um sinistro, e nem forçar que o cliente que teve seu carro batido na mais barata das soluções por benefício próprio. Mesmo que o veículo não possua a garantia da revendedora, isso não tira a responsabilidade, perante a lei, de ter que entregar o carro com suas peças originais trocadas ou mesmo deixando que eu escolha onde fazer a manutenção do carro. O carro que comprei estava em um inventário, e sou 2o dono. Vocês não têm o direito de menosprezar por seu um veículo antigo com a garantia de fabricação expirada, sendo um carro de https://******* publicando no RECLAME AQUI agora, anexando mais esse capítulo triste que mostra a total falta parâmetros na escolha de como resolver um problema gerado por vocês, ou seja com uma solução que só atende a vocês.

DEMONSTRANDO QUE A EMPRESA SÓ DESEJA ATENDER AOS SEUS BENEFÍCIO",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/reclamacao-sobre-sinistro-de-carro-alugado-na-localiza-divergencia-sobre-oficina-pecas-e-orcamento_yBIndP88TZYoCe4X/,,Sinistro e Acidente
Cobrança indevida e negativação indevida após remoção de veículo com pertences,NÃO RESPONDIDA,Recife,PE,"A localiza está me cobrando um valor indevido do qual a mesma está negativando o meu nome por algo que não devo, onde a mesma empresa me alugou um veículo pelo zarp removeu o veículo sem o meu consentimento com todos os meus pertences dentro, e eu nunca mais vi nenhum deles, e ainda negativou meu nome no serasa, solicito que seja retirado a restrição pois não devo nada, ou então terei que entrar nas pequenas causas, tenho a reclamações anteriores sobre a situação que estou passando com essa empresa, perdi meus pertences e ainda estou sendo negativado.",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/cobranca-indevida-e-negativacao-indevida-apos-remocao-de-veiculo-com-pertences_SANavhZNtAeU6sVz/,,Problema Financeiro
"Demora excessiva no atendimento em loja da Localiza em Brasília, com apenas uma caixa e má organização.",NÃO RESPONDIDA,São Paulo,SP,"Novamente fui usar o serviço da localiza e agora em Brasília, parece brincadeira, 1 caixa atendendo e a demora absurda.
Pessoas que chegam depois e passam na frente por ser devolução, balcão que vira atendimento de dúvidas e com isto vira horas aqui.",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/demora-excessiva-no-atendimento-em-loja-da-localiza-em-brasilia-com-apenas-uma-caixa-e-ma-organizacao_7rkO3pvfNPg7MfGQ/,,Tempo de Atendimento
Localiza: Bloqueio indevido de motorista adicional no aplicativo impede aluguel de carro e demonstra falta de solução e explicação,RESPONDIDA,Armação dos Búzios,RJ,"Tive uma experiência muito ruim com a localiza. Precisei alugar um carro para uma viagem longa e precisava adicionar um motorista adicional ( no caso no meu namorado) para dividir o percursos.
Porém , ao tentar cadastrá-lo , o acesso dele apareceu bloqueado no aplicativo. Ele nunca havia alugado carro na empresa e baixou o aplicativo apenas nesse dia . Fomos até a loja para entender o motivo do bloqueio , mas ninguém conseguiu explicar a situação ou oferecer uma solução.
Precisamos alugar o carro em outra empresa.
O que mais nos incomodou não foi apenas o bloqueio em sim, mas a falta de explicação e resolução do problema.",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/localiza-bloqueio-indevido-de-motorista-adicional-no-aplicativo-impede-aluguel-de-carro-e-demonstra-falta-de-solucao-e-explicacao_BT9GPNygj5aoFs6z/,,Bloqueio de Cadastro
Veículo alugado apresentou barulho na suspensão durante viagem.,NÃO RESPONDIDA,Goiânia,GO,"No dia 29/05 fiz uma reserva de locação para retirada às 18:30, dei início a retirada do veículo para uma viagem em família. Quando percorri torno de 8km o carro começou a fazer um barulho continuamente na suspensão dianteira lado do motorista. Como eu estava atrasado para a viagem não conseguir retornar com veículo. Diante deste cenário venho expressar minha intensa insatisfação, sou cliente localiza de longas datas porém o veículo a qual me foi dispensado da para ver de forma clara que as manifestações não são feitas. Foi insuportável fazer uma viagem de 140km com um barulho infernal",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/veiculo-alugado-apresentou-barulho-na-suspensao-durante-viagem_cuNVCPooDJBO_Twb/,,Falha no App / Reserva
Excelente experiência com atendimento e equipe na Localiza do Shopping Metrópole.,RESPONDIDA,São Bernardo do Campo,SP,"Gostaria de registrar minha excelente experiência com a unidade da Localiza no Shopping Metrópole. Desde o início do atendimento, fui muito bem recebido pela equipe, com destaque especial para a *****, que demonstrou elevado nível de profissionalismo, agilidade e cordialidade, garantindo um processo de retirada rápido e totalmente alinhado às minhas expectativas.
No momento da devolução, o Sr. ***** também merece reconhecimento pelo atendimento ágil e organizado, além da preocupação genuína com a minha experiência, o que reforçou ainda mais a percepção positiva do serviço prestado. Fiz questão de compartilhar com ele o quão satisfatória foi a minha jornada como cliente.
Por fim, ressalto o excelente trabalho de liderança da Srta. *****, responsável pela agência e equipe, o que claramente se reflete na qualidade do atendimento entregue. A sinergia e o comprometimento do time são evidentes e fazem toda a diferença.
De forma geral, tive uma experiência extremamente positiva, superando expectativas e reforçando minha confiança na marca.
Um forte abraço a todos os mencionados nesta pesquisa e também àqueles com quem, nesta ocasião, não tive contato direto, mas que sempre se mostram cordiais.",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/excelente-experiencia-com-atendimento-e-equipe-na-localiza-do-shopping-metropole_vicDacFIlyoxd5SW/,,Outros
Cobrança indevida após devolução de veículo alugado e falha na baixa do contrato.,NÃO RESPONDIDA,Rio de Janeiro,RJ,Aluguei um veículo no dia 29 de maio com devolução para o dia 01 de junho. O veículo foi retirado as 15:14h do dia 29 de maio e devolvido no mesmo local dia 01 de junho as 12:20h. Porém não foi dado baixa na devolução. O contrato consta aberto. Hoje recebi cobrança de outra diária como se estivesse ainda com o veículo. Já fiz duas reclamações para dar baixa no contrato e estornar a diária cobrada a mais. O contrato continua aberto e não obtive retorno e nem estorno da diária.,https://www.reclameaqui.com.br/localiza-aluguel-de-carros/cobranca-indevida-apos-devolucao-de-veiculo-alugado-e-falha-na-baixa-do-contrato_wVJasmdVQu27doxJ/,,Problema Financeiro
Cobrança indevida e impacto no score de crédito,NÃO RESPONDIDA,São Bernardo do Campo,SP,"desde 2016 a empresa me cobra uma valor que desconheco 175,89 e outro de 183,57 e meu vida do score cada dia mais baixa me ajudem",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/cobranca-indevida-e-impacto-no-score-de-credito_xSlrxGml6JZdZogG/,,Problema Financeiro
"Cobrança Indevida de R$ 870,00 por Danos em Veículo Locado, Sem Comprovação Técnica e Encaminhamento para Empresa de Cobrança",NÃO RESPONDIDA,São Bernardo do Campo,SP,"TÍTULO: Cobrança Persistente Sem Comprovação Técnica e Encaminhamento Indevido para Empresa de Cobrança

Venho registrar, pela segunda vez, minha profunda insatisfação com a postura da Unidas-Localiza em relação a uma cobrança que considero totalmente indevida.

Ao final do contrato de locação de um Volkswagen T-Cross, mantido por aproximadamente 2 anos, realizei a devolução do veículo seguindo todas as orientações da empresa. O automóvel foi submetido à vistoria final em estabelecimento credenciado pela própria Unidas, que emitiu laudo técnico sem apontamento de avarias passíveis de cobrança.

Apesar da existência desse laudo oficial, a Unidas passou a cobrar o valor de R$ 870,00 referente a supostos danos na lataria do veículo, sem apresentar qualquer documento técnico capaz de contradizer a vistoria realizada por sua própria empresa credenciada.

Desde o início da controvérsia, encaminhei diversas manifestações formais, anexando o laudo de vistoria e solicitando esclarecimentos objetivos sobre a origem da cobrança. Em nenhum momento recebi documentação técnica consistente que justificasse a exigência do valor cobrado.

Mesmo diante da contestação formal e da documentação apresentada, a Unidas optou por encaminhar a cobrança para uma empresa terceirizada de recuperação de crédito, que continua realizando contatos e insistindo na cobrança do débito questionado.

Tal situação é extremamente preocupante, pois demonstra que a empresa está ignorando completamente os fatos e os documentos já apresentados, transferindo a cobrança para terceiros sem antes concluir adequadamente a análise da reclamação.

Ressalto que:

Existe laudo oficial de vistoria emitido por empresa indicada pela própria Unidas, sem registro das avarias alegadas;

A cobrança foi formalmente contestada diversas vezes;

Até o presente momento não foi apresentada prova técnica capaz de justificar a cobrança;

A insistência na cobrança, mesmo após a contestação documentada, gera constrangimento e insegurança jurídica;

O encaminhamento para empresa de cobrança antes da efetiva resolução do conflito demonstra falta de respeito ao consumidor e ao devido tratamento da reclamação.

Diante disso, solicito de forma definitiva:

1. O cancelamento imediato e definitivo da cobrança de R$ 870,00;

2. A retirada do débito de qualquer empresa terceirizada de cobrança;

3. A confirmação formal de que não haverá protesto, negativação ou qualquer restrição de crédito relacionada a esse caso;

4. O encerramento administrativo da demanda, considerando o laudo técnico já apresentado e a ausência de provas que sustentem a cobrança.

Caso a Unidas entenda que a cobrança é devida, solicito que apresente, de forma clara e objetiva, laudo técnico, fotografias, registros de vistoria e demais documentos que comprovem a existência das alegadas avarias, bem como a justificativa para desconsiderar o laudo emitido por sua própria empresa credenciada.

Após meses de tentativas de solução amigável, espero que a empresa finalmente adote uma postura responsável, respeitando a documentação existente e encerrando uma cobrança que, até o momento, permanece sem comprovação adequada.",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/cobranca-indevida-de-r-87000-por-danos-em-veiculo-locado-sem-comprovacao-tecnica-e-encaminhamento-para-empresa-de-cobranca_gjXnaYAALFVWk0Qa/,,Sinistro e Acidente
"Cobrança indevida após pagamento de avaria de carro alugado, com inclusão indevida no Serasa",NÃO RESPONDIDA,São Paulo,SP,"Aluguei um carro na Localiza de João Pessoa no aeroporto do dia 10 dia 30 de janeiro até 10 de fevereiro, porém tive uma avaria na garagem do hotel onde eu estava informei na devolução do carro, paguei o valor da avaria 336 e estou recebendo uma cobrança indevida desde março ligações e e-mails com essa cobrança. Entrei em contato informei que já tinha pago a cobrança já não está mais no financeiro da Localiza foi para um terceiro e o terceiro e colocou no Serasa aonde está baixando o meu score peço pelo amor de Deus em nome de Jesus que rezou. Estarei enviando a fatura e os print do Serasa. E da comunicação da Localiza Aguardo retorno, obrigado.",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/cobranca-indevida-apos-pagamento-de-avaria-de-carro-alugado-com-inclusao-indevida-no-serasa_d4NmRUeQdfwpg9MM/,,Sinistro e Acidente
